규모,전국 Total,,,,서울 Seoul,,,,강북(14개구) Northern seoul,,,,강남(11개구) Southern Seoul,,,,6개광역시 6 Large Cities,,,,부산   Pusan,,,,대구  Daegu,,,,인천  Incheon,,,,광주  Gwangju,,,,대전  Daejeon,,,,울산  Ulsan,,,,5개광역시 5 Large Cities,,,,수도권 Seoul Metropolitan Area,,,,세종  Sejong,,,,경기  Gyeonggi,,,,강원  Gangwon,,,,충북  Chungbuk,,,,충남  Chungnam,,,,전북  Jeonbuk,,,,전남  Jeonnam,,,,경북  Gyungbuk,,,,경남  Gyungnam,,,,기타지방 Non Metropolitan Area,,,
,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,,,종합,아파트,단독,연립,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,단독,연립
'08.12,"24,209","25,061","26,988","14,629","45,986","52,530","56,296","23,276","37,454","40,749","48,240","20,592","54,616","62,364","69,418","26,120","14,178","14,639","16,766","7,817", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - , - , - ,"34,972","37,282","46,862","17,395", - , - ,,,"28,811","29,487","40,032","13,124", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,,"10,796","10,235","12,361","5,369"
'09.1,"24,016","24,804","26,920","14,529","45,588","51,925","56,176","23,111","37,256","40,456","48,128","20,496","54,016","61,498","69,286","25,883","14,119","14,570","16,731","7,767", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - , - , - ,"34,643","36,829","46,747","17,268", - , - ,,,"28,484","29,072","39,901","13,032", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,,"10,763","10,205","12,324","5,352"
2,"23,963","24,722","26,940","14,487","45,593","51,905","56,298","23,074","37,192","40,255","48,271","20,498","54,091","61,631","69,373","25,805","14,087","14,518","16,737","7,754", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - , - , - ,"34,566","36,706","46,798","17,217", - , - ,,,"28,318","28,862","39,878","12,952", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,,"10,739","10,179","12,314","5,307"
3,"23,914","24,636","26,971","14,474","45,537","51,766","56,437","23,043","37,152","40,080","48,494","20,468","54,017","61,521","69,376","25,772","14,052","14,473","16,716","7,745", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - , - , - ,"34,488","36,554","46,901","17,199", - , - ,,,"28,223","28,696","39,969","12,954", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,,"10,729","10,175","12,301","5,310"
4,"23,957","24,673","27,044","14,478","45,725","51,993","56,772","23,029","37,299","40,089","49,061","20,479","54,247","61,931","69,332","25,732","14,039","14,454","16,717","7,734", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - , - , - ,"34,570","36,626","47,087","17,202", - , - ,,,"28,235","28,685","39,999","12,998", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,,"10,732","10,177","12,304","5,313"
5,"23,996","24,724","27,066","14,486","45,793","52,104","56,803","23,033","37,308","40,089","49,074","20,498","54,376","62,132","69,393","25,720","14,050","14,468","16,725","7,734", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - , - , - ,"34,638","36,717","47,140","17,211", - , - ,,,"28,323","28,781","40,088","13,023", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,,"10,731","10,177","12,302","5,322"
6,"24,076","24,809","27,143","14,532","46,064","52,413","57,212","23,108","37,385","40,155","49,207","20,543","54,842","62,644","70,252","25,826","14,070","14,487","16,740","7,766", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - , - , - ,"34,775","36,863","47,315","17,270", - , - ,,,"28,361","28,840","40,005","13,055", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,,"10,739","10,184","12,313","5,329"
7,"24,185","24,953","27,179","14,581","46,426","52,935","57,433","23,230","37,590","40,382","49,442","20,677","55,363","63,414","70,449","25,937","14,086","14,512","16,749","7,755", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - , - , - ,"34,969","37,124","47,402","17,335", - , - ,,,"28,446","28,966","39,944","13,081", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,,"10,737","10,184","12,307","5,336"
8,"24,267","25,046","27,239","14,640","46,653","53,211","57,662","23,347","37,744","40,531","49,674","20,768","55,663","63,796","70,673","26,080","14,114","14,543","16,772","7,775", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - , - , - ,"35,104","37,275","47,544","17,408", - , - ,,,"28,523","29,057","39,992","13,116", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,,"10,750","10,204","12,305","5,362"
