통계표,항목명1,항목명2,단위,변환,2004/01,2004/02,2004/03,2004/04,2004/05,2004/06,2004/07,2004/08,2004/09,2004/10,2004/11,2004/12,2005/01,2005/02,2005/03,2005/04,2005/05,2005/06,2005/07,2005/08,2005/09,2005/10,2005/11,2005/12,2006/01,2006/02,2006/03,2006/04,2006/05,2006/06,2006/07,2006/08,2006/09,2006/10,2006/11,2006/12,2007/01,2007/02,2007/03,2007/04,2007/05,2007/06,2007/07,2007/08,2007/09,2007/10,2007/11,2007/12,2008/01,2008/02,2008/03,2008/04,2008/05,2008/06,2008/07,2008/08,2008/09,2008/10,2008/11,2008/12,2009/01,2009/02,2009/03,2009/04,2009/05,2009/06,2009/07,2009/08,2009/09,2009/10,2009/11,2009/12,2010/01,2010/02,2010/03,2010/04,2010/05,2010/06,2010/07,2010/08,2010/09,2010/10,2010/11,2010/12,2011/01,2011/02,2011/03,2011/04,2011/05,2011/06,2011/07,2011/08,2011/09,2011/10,2011/11,2011/12,2012/01,2012/02,2012/03,2012/04,2012/05,2012/06,2012/07,2012/08,2012/09,2012/10,2012/11,2012/12,2013/01,2013/02,2013/03,2013/04,2013/05,2013/06,2013/07,2013/08,2013/09,2013/10,2013/11,2013/12,2014/01,2014/02,2014/03,2014/04,2014/05,2014/06,2014/07,2014/08,2014/09,2014/10,2014/11,2014/12,2015/01,2015/02,2015/03,2015/04,2015/05,2015/06,2015/07,2015/08,2015/09,2015/10,2015/11,2015/12,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12
7.7.5 유형별 주택전세가격지수,종합,전국,2017.11=100,원자료,62.0,62.1,62.2,62.3,62.1,61.6,61.1,60.5,60.1,59.8,59.3,58.7,58.4,58.5,58.8,59.1,59.1,59.3,59.3,59.4,59.9,60.3,60.5,60.6,60.8,61.0,61.5,61.8,62.1,62.2,62.2,62.3,62.9,63.6,64.2,64.6,65.0,65.3,65.6,65.9,66.0,66.1,66.2,66.3,66.6,66.8,67.0,67.1,67.3,67.5,68.0,68.6,68.9,69.3,69.6,69.8,70.2,70.4,70.1,69.2,68.6,68.4,68.4,68.6,68.7,68.9,69.1,69.4,70.4,70.9,71.3,71.4,71.6,72.1,72.5,72.9,73.3,73.5,73.7,73.9,74.4,75.0,75.7,76.2,76.8,78.0,79.3,80.7,80.8,81.3,81.9,82.8,83.9,84.7,85.1,85.2,85.5,85.6,85.6,85.7,85.7,85.7,85.6,85.5,85.7,86.0,86.2,86.4,86.6,86.7,87.1,87.5,87.7,87.9,88.2,88.5,89.0,89.6,90.1,90.4,91.0,91.4,91.8,92.0,92.0,92.1,92.2,92.4,92.7,93.0,93.3,93.5,93.8,94.1,94.5,95.1,95.5,96.0,96.3,96.6,97.0,97.4,97.8,98.1,98.2,98.3,98.4,98.5,98.6,98.7,98.8,98.9,99.0,99.1,99.3,99.3,99.4,99.4,99.5,99.6,99.6,99.7,99.8,99.8,99.9,100.0,100.0,100.0
7.7.5 유형별 주택전세가격지수,종합,수도권,2017.11=100,원자료,56.6,56.7,56.9,56.9,56.6,56.0,55.4,54.7,54.2,53.8,53.1,52.5,52.1,52.2,52.5,52.8,52.9,53.0,53.1,53.3,53.9,54.4,54.6,54.7,54.9,55.2,55.9,56.3,56.7,56.8,56.9,57.2,57.9,58.8,59.8,60.4,60.9,61.3,61.8,62.3,62.4,62.5,62.7,62.9,63.3,63.6,63.7,63.8,64.0,64.3,65.0,65.7,66.1,66.7,67.0,67.3,67.8,67.9,67.5,66.1,65.2,65.0,65.1,65.2,65.5,65.7,66.0,66.5,67.8,68.4,68.7,68.7,68.9,69.2,69.7,70.1,70.3,70.5,70.6,70.7,71.2,71.9,72.6,73.0,73.5,74.8,76.1,77.0,77.0,77.4,78.0,78.9,80.1,80.8,80.9,80.8,80.8,80.9,80.9,80.8,80.6,80.5,80.2,80.1,80.4,80.8,81.0,81.1,81.2,81.4,81.8,82.2,82.4,82.6,82.9,83.5,84.2,85.0,85.6,86.1,86.8,87.5,88.1,88.2,88.2,88.3,88.5,88.7,89.1,89.5,89.9,90.2,90.5,91.0,91.6,92.4,93.0,93.7,94.2,94.6,95.1,95.7,96.3,96.6,96.8,97.0,97.1,97.3,97.5,97.7,97.9,98.0,98.1,98.3,98.5,98.6,98.6,98.7,98.8,98.9,99.1,99.3,99.4,99.6,99.8,99.9,100.0,100.0
7.7.5 유형별 주택전세가격지수,종합,지방,2017.11=100,원자료,68.0,68.1,68.3,68.4,68.4,67.9,67.5,67.1,66.9,66.8,66.5,66.1,65.9,66.0,66.3,66.5,66.6,66.6,66.7,66.7,67.0,67.3,67.3,67.4,67.6,67.7,67.9,68.0,68.2,68.2,68.1,68.1,68.3,68.6,68.9,69.0,69.1,69.3,69.4,69.5,69.6,69.6,69.6,69.7,69.8,70.0,70.1,70.2,70.4,70.5,70.8,71.2,71.3,71.6,71.8,71.9,72.2,72.3,72.4,72.1,71.8,71.7,71.6,71.7,71.8,71.9,72.0,72.1,72.7,73.0,73.4,73.7,74.0,74.5,74.9,75.4,75.8,76.2,76.5,76.8,77.2,77.7,78.5,79.2,79.8,80.9,82.2,84.0,84.3,85.0,85.7,86.5,87.5,88.3,89.1,89.4,90.0,90.1,90.3,90.5,90.7,90.8,90.7,90.8,90.9,91.1,91.3,91.6,91.8,91.9,92.2,92.6,92.9,93.1,93.3,93.5,93.7,94.0,94.3,94.6,95.0,95.2,95.4,95.6,95.7,95.7,95.8,95.9,96.1,96.3,96.5,96.7,96.8,97.0,97.3,97.6,97.8,98.1,98.3,98.5,98.7,99.0,99.2,99.4,99.4,99.5,99.6,99.7,99.7,99.7,99.7,99.7,99.7,99.8,99.9,100.0,100.0,100.1,100.1,100.1,100.1,100.1,100.1,100.0,100.0,100.0,100.0,100.0
7.7.5 유형별 주택전세가격지수,종합,5대광역시,2017.11=100,원자료,66.1,66.1,66.3,66.4,66.3,65.8,65.3,64.8,64.7,64.7,64.3,63.9,63.7,63.8,63.9,64.1,64.2,64.2,64.2,64.2,64.5,64.8,64.9,65.0,65.2,65.3,65.5,65.6,65.7,65.7,65.5,65.5,65.8,66.1,66.4,66.6,66.7,66.8,66.9,67.0,67.0,67.0,67.0,67.0,67.1,67.2,67.3,67.4,67.5,67.6,67.9,68.1,68.2,68.4,68.5,68.6,68.7,68.9,68.8,68.5,68.3,68.1,68.0,68.1,68.2,68.2,68.4,68.5,69.2,69.6,70.0,70.4,70.7,71.4,71.8,72.4,72.8,73.2,73.5,73.9,74.2,74.8,75.6,76.3,77.0,78.1,79.4,81.3,81.6,82.4,83.1,83.9,84.8,85.5,86.3,86.6,87.1,87.1,87.4,87.6,87.8,87.8,87.7,87.5,87.6,87.9,88.1,88.4,88.6,88.8,89.1,89.6,89.9,90.3,90.6,90.8,91.0,91.4,91.7,92.1,92.4,92.7,93.0,93.2,93.3,93.4,93.5,93.6,93.8,94.0,94.3,94.5,94.7,94.9,95.3,95.8,96.1,96.6,96.9,97.1,97.4,97.8,98.2,98.4,98.5,98.6,98.7,98.8,98.8,98.9,98.9,98.9,99.0,99.2,99.3,99.4,99.5,99.6,99.6,99.7,99.8,99.8,99.8,99.9,99.9,100.0,100.0,100.0
7.7.5 유형별 주택전세가격지수,종합,8개도,2017.11=100,원자료,69.1,69.3,69.4,69.5,69.6,69.1,68.9,68.6,68.3,68.1,67.9,67.5,67.4,67.5,67.9,68.2,68.3,68.4,68.4,68.5,68.7,69.0,69.0,69.0,69.2,69.4,69.7,69.8,69.9,69.9,70.0,70.0,70.2,70.4,70.6,70.7,70.8,71.0,71.2,71.3,71.4,71.5,71.6,71.6,71.8,72.0,72.2,72.4,72.5,72.7,73.1,73.6,73.8,74.2,74.4,74.7,75.1,75.3,75.4,75.2,74.8,74.7,74.8,74.8,75.0,75.0,75.1,75.2,75.6,75.8,76.2,76.5,76.6,76.9,77.3,77.7,78.1,78.5,78.8,79.0,79.4,79.9,80.6,81.2,81.7,82.7,84.0,85.7,86.0,86.6,87.3,88.2,89.2,90.0,90.8,91.2,91.9,92.1,92.2,92.4,92.6,92.7,92.7,92.8,93.0,93.2,93.3,93.6,93.7,93.9,94.1,94.5,94.7,94.9,95.0,95.1,95.3,95.7,95.9,96.2,96.5,96.7,96.9,97.0,97.1,97.2,97.2,97.3,97.5,97.7,97.8,98.0,98.2,98.3,98.5,98.7,98.9,99.0,99.1,99.3,99.5,99.6,99.8,99.9,100.0,100.1,100.1,100.2,100.2,100.2,100.1,100.1,100.1,100.2,100.2,100.3,100.3,100.3,100.3,100.3,100.3,100.3,100.2,100.2,100.1,100.1,100.0,99.9
7.7.5 유형별 주택전세가격지수,종합,서울,2017.11=100,원자료,57.6,57.6,57.7,57.7,57.4,56.7,56.1,55.5,55.0,54.6,54.0,53.4,53.0,53.0,53.1,53.1,53.1,53.0,53.0,53.1,53.7,54.2,54.4,54.5,54.8,55.2,55.9,56.4,56.7,56.9,57.0,57.2,57.9,58.8,59.7,60.1,60.5,60.8,61.3,61.7,61.9,62.0,62.2,62.4,62.9,63.2,63.4,63.5,63.8,64.2,64.9,65.7,66.1,66.6,66.9,67.1,67.4,67.5,66.9,65.4,64.5,64.5,64.7,64.9,65.1,65.4,65.8,66.3,67.8,68.5,69.0,69.1,69.4,69.9,70.4,70.8,71.0,71.1,71.1,71.3,71.8,72.4,73.0,73.4,74.1,75.3,76.3,76.9,76.9,77.3,77.9,79.0,80.2,80.9,81.1,81.0,80.9,81.0,81.0,80.8,80.5,80.3,80.0,79.9,80.3,80.8,81.2,81.4,81.6,82.0,82.4,82.7,82.8,82.9,83.4,84.0,84.8,85.7,86.3,86.7,87.4,88.0,88.4,88.5,88.5,88.5,88.6,88.7,89.0,89.3,89.6,89.8,90.0,90.5,91.0,91.7,92.3,92.9,93.4,93.9,94.5,95.1,95.8,96.3,96.5,96.7,96.8,96.9,97.0,97.2,97.4,97.5,97.7,97.8,98.1,98.2,98.2,98.3,98.4,98.6,98.8,99.1,99.3,99.5,99.6,99.8,100.0,100.2
7.7.5 유형별 주택전세가격지수,종합,경기,2017.11=100,원자료,54.6,54.8,55.0,55.1,54.9,54.4,53.8,52.9,52.5,52.1,51.4,50.8,50.4,50.7,51.2,51.7,51.9,52.4,52.5,52.9,53.7,54.2,54.5,54.5,54.6,54.9,55.5,56.0,56.4,56.5,56.6,56.8,57.7,58.8,60.0,60.6,61.3,61.8,62.3,62.8,62.8,62.8,62.9,63.0,63.4,63.7,63.8,63.9,63.9,64.2,64.8,65.5,65.8,66.3,66.6,66.7,67.0,67.0,66.5,65.1,64.0,63.6,63.7,63.9,64.1,64.3,64.6,65.0,66.3,66.8,67.0,67.0,67.0,67.3,67.8,68.2,68.4,68.6,68.6,68.8,69.3,70.1,70.9,71.3,71.9,73.4,75.2,76.5,76.5,76.9,77.6,78.6,79.9,80.7,80.7,80.5,80.7,80.8,80.7,80.7,80.5,80.4,80.2,80.0,80.2,80.5,80.6,80.7,80.8,80.9,81.2,81.7,82.0,82.2,82.4,82.9,83.6,84.4,85.0,85.5,86.2,87.0,87.7,87.8,87.8,87.9,88.2,88.5,89.0,89.5,89.9,90.3,90.7,91.2,91.9,92.7,93.4,94.1,94.6,95.0,95.6,96.2,96.7,97.0,97.1,97.3,97.4,97.7,97.9,98.1,98.3,98.4,98.5,98.7,98.9,99.0,99.0,99.0,99.1,99.2,99.4,99.5,99.6,99.7,99.8,99.9,100.0,99.9
7.7.5 유형별 주택전세가격지수,종합,인천,2017.11=100,원자료,60.6,60.6,60.7,60.6,60.3,59.9,59.4,58.7,58.0,57.3,56.5,55.8,55.3,55.1,55.5,55.7,55.6,55.4,55.3,55.3,55.5,55.6,55.6,55.7,56.1,56.4,56.9,57.4,57.6,57.9,58.0,58.1,58.7,59.3,60.0,60.6,61.2,61.6,62.0,62.7,63.3,63.6,63.7,63.8,64.1,64.4,64.7,64.7,64.7,64.9,65.7,66.3,67.3,68.3,69.1,70.2,71.9,72.8,72.9,72.5,72.0,71.7,71.5,71.4,71.6,71.8,71.9,72.2,73.0,73.5,73.9,73.9,74.0,74.2,74.5,74.8,75.2,75.5,75.7,75.9,76.4,76.9,77.5,77.6,77.6,78.3,79.0,79.5,79.6,79.6,79.7,79.9,80.4,80.8,81.0,80.9,80.9,80.9,81.0,81.1,81.2,81.2,81.1,81.2,81.5,81.6,81.8,81.7,81.7,81.8,82.2,82.6,82.8,83.1,83.4,83.9,84.5,85.4,86.2,86.7,87.3,87.9,88.8,89.0,89.1,89.3,89.4,89.7,90.0,90.4,90.7,90.9,91.3,91.6,92.2,92.9,93.5,94.2,94.6,95.0,95.4,95.8,96.1,96.4,96.5,96.6,96.8,97.0,97.2,97.5,97.7,98.0,98.1,98.3,98.4,98.5,98.6,98.6,98.7,98.8,98.9,99.1,99.2,99.5,99.7,99.9,100.0,99.9
7.7.5 유형별 주택전세가격지수,종합,부산,2017.11=100,원자료,68.8,68.8,69.0,69.0,68.8,68.2,67.4,66.9,66.7,66.4,65.8,64.9,64.4,64.2,64.0,63.9,63.7,63.3,63.1,63.0,63.0,63.2,63.3,63.3,63.2,63.1,63.2,63.1,63.0,62.8,62.5,62.5,62.7,62.9,63.1,63.1,63.2,63.2,63.4,63.6,63.6,63.7,63.7,63.7,63.9,64.0,64.2,64.4,64.6,64.7,65.0,65.4,65.4,65.6,65.7,65.8,66.1,66.3,66.4,66.5,66.5,66.6,66.8,67.0,67.2,67.3,67.4,67.7,68.4,68.8,69.4,69.9,70.1,70.7,71.5,72.4,73.2,73.8,74.4,75.0,75.5,76.5,77.7,78.8,79.8,81.1,82.7,85.3,85.7,86.5,87.4,88.1,89.0,89.7,90.6,90.9,91.0,90.8,90.9,91.0,91.1,91.0,90.9,90.7,90.6,90.7,90.8,90.9,90.9,91.0,91.2,91.3,91.4,91.4,91.3,91.3,91.4,91.6,91.8,91.9,92.0,92.2,92.3,92.5,92.6,92.7,92.8,92.8,92.9,93.1,93.3,93.4,93.5,93.7,94.0,94.3,94.5,94.8,95.0,95.2,95.4,95.7,96.1,96.4,96.6,96.8,97.0,97.1,97.3,97.5,97.6,97.9,98.2,98.6,99.0,99.2,99.4,99.4,99.5,99.7,99.9,100.0,100.1,100.1,100.0,100.0,100.0,100.0
7.7.5 유형별 주택전세가격지수,종합,대구,2017.11=100,원자료,65.1,65.0,65.0,65.0,64.9,64.1,63.4,63.0,62.9,62.8,62.6,62.5,62.7,63.0,63.6,64.2,64.6,64.9,65.2,65.3,66.1,66.8,67.2,67.6,68.0,68.4,68.9,69.2,69.3,69.2,69.0,68.7,68.9,69.0,69.1,69.3,69.3,69.2,69.2,69.0,68.8,68.4,68.2,68.1,68.1,68.2,68.2,68.3,68.2,68.1,68.1,68.1,68.0,68.0,68.0,67.9,67.8,67.7,67.3,66.3,65.5,64.7,64.4,64.1,64.1,64.0,64.1,64.3,64.7,65.0,65.2,65.4,65.5,65.8,66.0,66.3,66.4,66.5,66.6,66.8,67.1,67.5,68.0,68.4,68.7,69.5,70.4,71.3,71.6,72.1,72.5,73.2,74.0,74.6,75.6,76.1,77.3,77.7,78.1,78.5,78.8,78.9,79.0,79.2,79.5,79.7,80.1,80.7,81.3,81.5,81.8,82.9,83.8,84.7,85.7,86.3,86.9,87.7,88.5,89.6,90.6,91.2,91.6,92.1,92.5,92.7,92.9,93.2,93.6,94.0,94.5,95.0,95.5,95.8,96.4,97.2,98.0,98.8,99.4,99.9,100.6,101.2,101.6,101.6,101.5,101.4,101.2,101.0,100.9,100.6,100.4,100.2,100.1,100.1,100.0,100.0,99.9,99.9,99.9,99.8,99.8,99.8,99.8,99.8,99.9,99.9,100.0,100.0
