규모,전국 Total,,,,서울 Seoul,,,,강북(14개구) Northern seoul,,,,강남(11개구) Southern Seoul,,,,6개광역시 6 Large Cities,,,,부산   Pusan,,대구  Daegu,,인천  Incheon,,광주  Gwangju,,대전  Daejeon,,울산  Ulsan,,5개광역시 5 Large Cities,,,,수도권 Seoul Metropolitan Area,,,,세종  Sejong,,경기  Gyeonggi,,,,강원  Gangwon,,충북  Chungbuk,,충남  Chungnam,,전북  Jeonbuk,,전남  Jeonnam,,경북  Gyungbuk,,경남  Gyungnam,,기타지방 Non Metropolitan Area,,,
,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,종합,아파트,종합,아파트,종합,아파트,종합,아파트,종합,아파트,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,종합,아파트,단독,연립,종합,아파트,종합,아파트,종합,아파트,종합,아파트,종합,아파트,종합,아파트,종합,아파트,종합,아파트,단독,연립
'11.6,"12,975","14,140","11,745","8,157","21,659","24,902","23,086","12,238","17,877","20,240","19,482","11,040","25,391","28,731","28,955","13,508","9,601","11,160","7,401","5,194","10,290","12,825","9,428","10,620","8,788","10,145","7,754","8,672","11,059","12,778","10,358","11,208", - , - , - , - ,"16,662","17,871","19,964","9,184", - , - ,"14,112","14,503","18,356","7,026","6,567","6,518","7,476","8,269","7,217","8,021","7,349","9,041","6,044","6,713","6,518","7,610","10,262","11,109","7,659","8,706","5,706","4,224"
7,"13,084","14,281","11,796","8,201","21,851","25,171","23,182","12,312","18,007","20,417","19,595","11,083","25,644","29,076","29,025","13,614","9,673","11,252","7,448","5,211","10,397","12,947","9,496","10,714","8,796","10,152","7,857","8,795","11,141","12,890","10,431","11,316", - , - , - , - ,"16,799","18,046","20,045","9,234", - , - ,"14,232","14,649","18,432","7,067","6,680","6,660","7,581","8,454","7,308","8,107","7,400","9,114","6,065","6,742","6,556","7,668","10,320","11,199","7,722","8,798","5,717","4,244"
8,"13,254","14,497","11,863","8,315","22,208","25,615","23,414","12,546","18,293","20,751","19,802","11,339","26,070","29,610","29,297","13,825","9,758","11,369","7,470","5,230","10,502","13,093","9,593","10,851","8,817","10,184","7,976","8,952","11,244","13,022","10,509","11,422", - , - , - , - ,"17,042","18,347","20,184","9,374", - , - ,"14,431","14,907","18,486","7,142","6,819","6,899","7,690","8,637","7,398","8,244","7,457","9,198","6,094","6,781","6,582","7,709","10,393","11,306","7,793","8,911","5,733","4,284"
9,"13,448","14,752","11,933","8,407","22,565","26,117","23,596","12,675","18,588","21,181","19,937","11,484","26,490","30,172","29,554","13,937","9,872","11,513","7,525","5,287","10,629","13,238","9,720","11,024","8,884","10,275","8,162","9,192","11,316","13,103","10,620","11,552", - , - , - , - ,"17,310","18,702","20,291","9,475", - , - ,"14,669","15,216","18,516","7,241","6,936","7,051","7,811","8,840","7,493","8,350","7,552","9,328","6,161","6,854","6,622","7,771","10,533","11,486","7,889","9,046","5,769","4,316"
10,"13,563","14,900","11,970","8,475","22,744","26,355","23,670","12,787","18,755","21,432","20,008","11,558","26,680","30,399","29,635","14,089","9,950","11,621","7,546","5,309","10,717","13,353","9,807","11,146","8,941","10,367","8,256","9,318","11,363","13,159","10,722","11,688", - , - , - , - ,"17,454","18,886","20,351","9,555", - , - ,"14,806","15,382","18,574","7,315","7,009","7,126","7,911","8,970","7,575","8,477","7,612","9,412","6,218","6,939","6,669","7,840","10,642","11,624","7,966","9,153","5,786","4,331"
11,"13,621","14,972","12,013","8,498","22,801","26,421","23,720","12,829","18,852","21,548","20,083","11,634","26,698","30,423","29,643","14,096","10,041","11,745","7,575","5,329","10,842","13,533","9,956","11,356","8,975","10,405","8,367","9,463","11,281","13,045","10,899","11,928", - , - , - , - ,"17,482","18,904","20,429","9,579", - , - ,"14,805","15,361","18,689","7,319","7,101","7,223","7,979","9,056","7,678","8,646","7,686","9,515","6,315","7,078","6,735","7,943","10,693","11,728","8,042","9,265","5,806","4,345"
12,"13,616","14,959","12,035","8,496","22,783","26,371","23,795","12,818","18,846","21,522","20,128","11,623","26,669","30,353","29,768","14,086","10,058","11,765","7,588","5,337","10,869","13,565","10,033","11,455","8,976","10,409","8,387","9,496","11,147","12,854","10,982","12,036", - , - , - , - ,"17,451","18,850","20,466","9,568", - , - ,"14,750","15,290","18,684","7,309","7,155","7,275","8,007","9,089","7,721","8,713","7,728","9,561","6,359","7,131","6,784","8,015","10,670","11,717","8,070","9,304","5,817","4,362"
'12.1,"13,648","14,986","12,084","8,524","22,820","26,398","23,867","12,849","18,889","21,508","20,300","11,669","26,698","30,414","29,677","14,099","10,098","11,816","7,601","5,367","10,904","13,609","10,127","11,578","8,991","10,426","8,472","9,601","11,051","12,715","11,104","12,204", - , - , - , - ,"17,461","18,850","20,501","9,591", - , - ,"14,733","15,265","18,675","7,329","7,204","7,327","8,054","9,139","7,765","8,796","7,953","9,619","6,387","7,166","6,845","8,108","10,680","11,732","8,139","9,358","5,919","4,400"
2,"13,774","15,033","12,476","8,612","22,945","26,430","24,368","12,912","19,094","21,566","21,001","11,723","26,745","30,425","29,851","14,171","10,202","11,885","7,851","5,407","10,937","13,644","10,274","11,697","9,011","10,466","8,540","9,694","11,227","12,667","11,503","12,444", - , - , - , - ,"17,573","18,881","21,021","9,646", - , - ,"14,859","15,294","19,348","7,407","7,195","7,396","8,102","9,187","8,278","8,886","8,026","9,662","6,379","7,198","6,888","8,167","10,755","11,758","8,298","9,408","6,250","4,788"
3,"13,831","15,091","12,544","8,645","22,983","26,465","24,419","12,947","19,149","21,629","21,033","11,781","26,767","30,437","29,935","14,182","10,253","11,954","7,866","5,430","10,986","13,704","10,372","11,836","9,029","10,489","8,601","9,778","11,193","12,620","11,639","12,620", - , - , - , - ,"17,608","18,919","21,056","9,679", - , - ,"14,896","15,337","19,365","7,451","7,287","7,502","8,158","9,259","8,347","8,992","8,390","9,785","6,420","7,249","6,953","8,258","10,803","11,810","8,404","9,489","6,409","4,813"
4,"13,869","15,139","12,568","8,668","22,988","26,460","24,434","12,968","19,179","21,666","21,058","11,801","26,746","30,397","29,934","14,206","10,314","12,032","7,899","5,442","11,045","13,759","10,475","11,983","9,050","10,520","8,682","9,885","11,161","12,575","11,800","12,846", - , - , - , - ,"17,618","18,926","21,080","9,701", - , - ,"14,908","15,348","19,405","7,482","7,406","7,638","8,204","9,322","8,448","9,161","8,446","9,863","6,484","7,338","7,054","8,399","10,853","11,848","8,476","9,581","6,421","4,856"
5,"13,901","15,195","12,573","8,672","22,999","26,468","24,469","12,967","19,225","21,729","21,100","11,811","26,723","30,361","29,958","14,193","10,362","12,098","7,911","5,454","11,076","13,799","10,540","12,064","9,075","10,561","8,767","9,998","11,104","12,500","12,006","13,128", - , - , - , - ,"17,614","18,924","21,081","9,699", - , - ,"14,881","15,328","19,362","7,478","7,508","7,962","8,243","9,384","8,489","9,253","8,488","9,928","6,783","7,946","7,230","8,655","10,858","11,845","8,568","9,749","6,424","4,877"
6,"13,907","15,201","12,580","8,678","22,993","26,453","24,483","12,968","19,222","21,716","21,120","11,811","26,714","30,344","29,962","14,195","10,373","12,111","7,921","5,463","11,058","13,763","10,586","12,117","9,073","10,560","8,814","10,061","11,081","12,470","12,063","13,205", - , - , - , - ,"17,606","18,912","21,084","9,700", - , - ,"14,869","15,315","19,353","7,483","7,532","7,983","8,265","9,421","8,508","9,302","8,573","10,050","6,800","7,959","7,301","8,750","10,847","11,823","8,599","9,788","6,430","4,903"
7,"13,917","15,214","12,582","8,682","22,985","26,441","24,478","12,966","19,214","21,704","21,114","11,810","26,705","30,332","29,957","14,192","10,384","12,122","7,932","5,474","11,032","13,711","10,644","12,190","9,084","10,577","8,859","10,121","11,046","12,421","12,106","13,264", - , - , - , - ,"17,608","18,916","21,080","9,699", - , - ,"14,878","15,328","19,347","7,484","7,563","8,023","8,302","9,492","8,576","9,409","8,565","10,039","6,800","7,959","7,372","8,859","10,849","11,820","8,625","9,825","6,431","4,918"
8,"13,929","15,228","12,591","8,695","22,995","26,446","24,490","12,992","19,219","21,708","21,116","11,819","26,722","30,337","29,986","14,236","10,389","12,127","7,938","5,476","11,015","13,682","10,684","12,244","9,085","10,578","8,872","10,139","11,027","12,394","12,130","13,295", - , - , - , - ,"17,620","18,925","21,101","9,713", - , - ,"14,896","15,343","19,384","7,487","7,589","8,050","8,345","9,559","8,597","9,461","8,560","10,029","6,881","8,062","7,410","8,913","10,840","11,807","8,646","9,855","6,428","4,939"
9,"13,978","15,289","12,610","8,719","23,088","26,573","24,537","13,033","19,289","21,802","21,163","11,859","26,836","30,491","30,032","14,278","10,411","12,156","7,947","5,483","11,003","13,656","10,758","12,352","9,106","10,610","8,901","10,178","11,040","12,412","12,155","13,314", - , - , - , - ,"17,692","19,016","21,142","9,742", - , - ,"14,963","15,421","19,426","7,510","7,610","8,088","8,397","9,620","8,646","9,548","8,555","10,022","6,895","8,072","7,448","8,969","10,841","11,809","8,667","9,885","6,429","4,948"
10,"14,052","15,388","12,626","8,752","23,205","26,752","24,559","13,070","19,344","21,885","21,183","11,885","27,015","30,749","30,058","14,326","10,464","12,229","7,958","5,502","11,001","13,648","10,893","12,539","9,144","10,662","8,944","10,237","11,148","12,563","12,185","13,344", - , - , - , - ,"17,791","19,146","21,172","9,779", - , - ,"15,061","15,533","19,473","7,559","7,633","8,128","8,452","9,698","8,726","9,695","8,548","10,011","6,911","8,090","7,518","9,071","10,866","11,837","8,702","9,938","6,430","4,969"
11,"14,121","15,479","12,657","8,769","23,345","26,940","24,677","13,103","19,390","21,948","21,210","11,909","27,248","31,041","30,325","14,370","10,512","12,297","7,971","5,511","11,016","13,668","10,991","12,677","9,177","10,712","8,974","10,276","11,248","12,700","12,222","13,385", - , - , - , - ,"17,878","19,259","21,237","9,798", - , - ,"15,113","15,606","19,484","7,564","7,660","8,154","8,499","9,775","8,846","9,893","8,559","10,028","6,925","8,103","7,567","9,145","10,909","11,887","8,747","10,001","6,433","4,977"
12,"14,156","15,526","12,662","8,781","23,414","27,043","24,693","13,131","19,407","21,973","21,219","11,917","27,368","31,206","30,351","14,417","10,539","12,335","7,977","5,514","11,009","13,657","11,064","12,778","9,184","10,721","9,004","10,317","11,337","12,828","12,224","13,378", - , - , - , - ,"17,917","19,310","21,249","9,811", - , - ,"15,131","15,630","19,493","7,564","7,670","8,162","8,518","9,813","8,911","10,012","8,565","10,040","6,916","8,092","7,627","9,232","10,930","11,908","8,774","10,040","6,430","4,992"
'13.1,"14,195","15,579","12,670","8,796","23,490","27,156","24,716","13,154","19,437","22,006","21,254","11,934","27,490","31,386","30,356","14,447","10,566","12,371","7,985","5,522","11,011","13,657","11,131","12,868","9,198","10,744","9,027","10,347","11,392","12,905","12,236","13,388", - , - , - , - ,"17,962","19,371","21,260","9,828", - , - ,"15,156","15,660","19,491","7,579","7,688","8,183","8,572","9,886","8,981","10,127","8,573","10,051","6,921","8,096","7,680","9,311","10,970","11,956","8,810","10,091","6,434","4,998"
2,"14,245","15,650","12,678","8,808","23,583","27,305","24,735","13,165","19,485","22,088","21,263","11,946","27,627","31,589","30,390","14,457","10,601","12,421","7,991","5,531","11,021","13,670","11,201","12,961","9,228","10,790","9,058","10,389","11,454","12,994","12,260","13,417", - , - , - , - ,"18,024","19,457","21,276","9,839", - , - ,"15,196","15,709","19,505","7,595","7,735","8,241","8,642","9,983","9,025","10,206","8,564","10,038","6,927","8,105","7,727","9,382","11,032","12,039","8,847","10,147","6,434","5,008"
